SITENAME|LNG|LAT|METHOD|MODEL|VARS|WEIGHTS|NDIVISIONS|DIRECTION|GROWINGSEASON|ROTATION|PERIOD|ZONES|RESOLUTION|SCENARIO|OUTFILE|THRESHOLD
GLOBAL_1381311969488|-2.303|13.821|ccafs|[ensemble,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|1:12|prec|[2020_2049,1960_1990]|[bfa,global]|[30s,10min]|[a1b,baseline]|/var/www/analogues/outputs/GLOBAL_1381311969488/|0.0
GLOBAL_1381312404587|-2.303|13.821|ccafs|[ensemble,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|1:12|prec|[2020_2049,1960_1990]|[bfa,global]|[30s,10min]|[a1b,baseline]|/var/www/analogues/outputs/GLOBAL_1381312404587/|0.8
GLOBAL_1381312450915|-2.42|13.564|ccafs|[ensemble,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|6:10|prec|[2020_2049,1960_1990]|[bfa,global]|[30s,10min]|[a1b,baseline]|/var/www/analogues/outputs/GLOBAL_1381312450915/|0.8
GLOBAL_1381313978710|-2.303|13.906|ccafs|[ensemble,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|6:10|prec|[2020_2049,1960_1990]|[bfa,global]|[30s,10min]|[a1b,baseline]|/var/www/analogues/outputs/GLOBAL_1381313978710/|0.5
BFA_1381315486445|-1.08|13.086|ccafs|[current,ensemble]|[tmean,prec]|[0.5,0.5]|[12,12]|forward|6:10|prec|[1960_1990,2020_2049]|[bfa,bfa]|[30s,30s]|[baseline,a1b]|/var/www/analogues/outputs/BFA_1381315486445/|0.8
GLOBAL_1381325851179|-74.123|4.676|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[col,global]|[30s,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1381325851179/|0.0
GLOBAL_1381330294319|-3.454|12.449|ccafs|[ensemble,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|1:12|prec|[2020_2049,1960_1990]|[bfa,global]|[30s,10min]|[a1b,baseline]|/var/www/analogues/outputs/GLOBAL_1381330294319/|0.8
GLOBAL_1381330620553|-3.454|12.449|ccafs|[ensemble,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|1:12|prec|[2020_2049,1960_1990]|[bfa,global]|[30s,10min]|[a1b,baseline]|/var/www/analogues/outputs/GLOBAL_1381330620553/|0.5
GLOBAL_1381334180273|-3.457|12.446|ccafs|[ensemble,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|1:12|prec|[2020_2049,1960_1990]|[bfa,global]|[30s,10min]|[a1b,baseline]|/var/www/analogues/outputs/GLOBAL_1381334180273/|0.5
GLOBAL_1381336411803|-4.919|10.281|ccafs|[ensemble,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|1:12|prec|[2020_2049,1960_1990]|[bfa,global]|[30s,10min]|[a1b,baseline]|/var/www/analogues/outputs/GLOBAL_1381336411803/|0.0
GLOBAL_1381336624871|-3.457|12.446|ccafs|[ensemble,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|1:12|prec|[2020_2049,1960_1990]|[bfa,global]|[30s,10min]|[a1b,baseline]|/var/www/analogues/outputs/GLOBAL_1381336624871/|0.0
BFA_1381336956217|-3.457|12.446|ccafs|[ensemble,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|1:12|prec|[2020_2049,1960_1990]|[bfa,bfa]|[30s,30s]|[a1b,baseline]|/var/www/analogues/outputs/BFA_1381336956217/|0.0
BFA_1381336974134|-4.919|10.281|ccafs|[ensemble,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|1:12|prec|[2020_2049,1960_1990]|[bfa,bfa]|[30s,30s]|[a1b,baseline]|/var/www/analogues/outputs/BFA_1381336974134/|0.0
BFA_1381337392088|-3.457|12.446|ccafs|[ensemble,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|1:12|prec|[2020_2049,1960_1990]|[bfa,bfa]|[30s,30s]|[a1b,baseline]|/var/www/analogues/outputs/BFA_1381337392088/|0.7
BFA_1381337402637|-4.919|10.281|ccafs|[ensemble,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|1:12|prec|[2020_2049,1960_1990]|[bfa,bfa]|[30s,30s]|[a1b,baseline]|/var/www/analogues/outputs/BFA_1381337402637/|0.7
GLOBAL_1381352146109|-54.141|-21.943|ccafs|[current,current]|[tmean]|[1]|[12,12]|none|1:2|none|[1960_1990,1960_1990]|[global,global]|[10min,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1381352146109/|0.0
CAN_1381373160498|-79.785|47.258|ccafs|[ensemble,ensemble]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[2020_2049,2020_2049]|[can,can]|[30s,30s]|[a1b,b1]|/var/www/analogues/outputs/CAN_1381373160498/|0.0
GLOBAL_1381396494406|-1.076|13.081|ccafs|[ensemble,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|1:12|prec|[2020_2049,1960_1990]|[bfa,global]|[30s,10min]|[a1b,baseline]|/var/www/analogues/outputs/GLOBAL_1381396494406/|0.7
