ISO,COUNTRY,XMIN,XMAX,YMIN,YMAX,DX,DY,NCOLS,NROWS,NTILES,NCOLS_TILES,NROWS_TILES
fji,Fiji,-179.9999997,180.0000191,-19.21638865,-12.45805496,0.008333334,0.008333334,43200,811,121,11,11
fin,Finland,19.31769944,31.58436674,59.72097037,70.08763758,0.008333334,0.008333334,1472,1244,9,3,3
fra,France,-5.142087564,9.566246537,41.36601241,51.09934625,0.008333334,0.008333334,1765,1168,9,3,3
guf,French Guiana,-54.54251062,-51.61751047,2.127094223,5.777094414,0.008333334,0.008333334,351,438,1,1,1
gab,Gabon,8.695470572,14.50380421,-3.978805717,2.321194612,0.008333334,0.008333334,697,756,4,2,2
geo,Georgia,40.01023847,46.71857215,41.03851335,43.58851349,0.008333334,0.008333334,805,306,1,1,1
deu,Germany,5.871619565,15.02995338,47.26985938,55.05319312,0.008333334,0.008333334,1099,934,4,2,2
gha,Ghana,-3.255419489,1.194580743,4.736723298,11.17005697,0.008333334,0.008333334,534,772,4,2,2
grc,Greece,19.30990052,29.61823439,34.8149034,41.73990377,0.008333334,0.008333334,1237,831,4,2,2
grl,Greenland,-73.04308357,-12.15141373,59.79109937,83.62443394,0.008333334,0.008333334,7307,2860,81,9,9
grd,Grenada,-61.80208256,-61.37708254,11.98430529,12.53430532,0.008333334,0.008333334,51,66,1,1,1
glp,Guadeloupe,-63.1537515,-61.00375139,15.8315274,18.12319419,0.008333334,0.008333334,258,275,1,1,1
gtm,Guatemala,-92.22235853,-88.22235832,13.74428528,17.81928549,0.008333334,0.008333334,480,489,1,1,1
gin,Guinea,-15.08625953,-7.644592477,7.193552256,12.67688588,0.008333334,0.008333334,893,658,4,2,2
gnb,Guinea-Bissau,-16.71754059,-13.6342071,10.85997036,12.67663712,0.008333334,0.008333334,370,218,1,1,1
guy,Guyana,-61.39627064,-56.47960372,1.175080377,8.558414096,0.008333334,0.008333334,590,886,4,2,2
hti,Haiti,-74.47944663,-71.62111315,18.0228614,20.08952817,0.008333334,0.008333334,343,248,1,1,1
hnd,Honduras,-89.3507915,-83.15912451,12.98453927,16.50953946,0.008333334,0.008333334,743,423,1,1,1
hun,Hungary,16.1110476,22.90271462,45.74782934,48.58949615,0.008333334,0.008333334,815,341,1,1,1
isl,Iceland,-24.54222446,-13.50055721,63.38999938,66.53999954,0.008333334,0.008333334,1325,378,4,2,2
ind,India,68.1862486,97.41125012,6.754260282,35.50426178,0.008333334,0.008333334,3507,3450,49,7,7
idn,Indonesia,94.97233554,141.0140046,-11.00971962,6.0736146,0.008333334,0.008333334,5525,2050,36,6,6
irn,Iran,45.08922155,63.3142225,25.06408726,39.69742135,0.008333334,0.008333334,2187,1756,16,4,4
irq,Iraq,38.79531046,48.57864431,29.10305426,37.37805469,0.008333334,0.008333334,1174,993,4,2,2
irl,Ireland,-10.66305555,-5.996388643,51.41958237,55.45291591,0.008333334,0.008333334,560,484,1,1,1
isr,Israel,34.26800951,35.93467626,29.49664529,33.42997883,0.008333334,0.008333334,200,472,1,1,1
ita,Italy,6.630879578,18.52254687,35.4929163,47.0929169,0.008333334,0.008333334,1427,1392,9,3,3
civ,Ivory Coast,-8.599302591,-2.490968939,4.35706724,10.74040091,0.008333334,0.008333334,733,766,4,2,2
jam,Jamaica,-78.36902654,-76.1856931,17.70569436,18.52236107,0.008333334,0.008333334,262,98,1,1,1
jpn,Japan,122.9331966,145.8165312,24.04541641,45.52041753,0.008333334,0.008333334,2746,2577,36,6,6
jor,Jordan,34.96001053,39.30167743,29.18587834,33.37754523,0.008333334,0.008333334,521,503,1,1,1
kaz,Kazakhstan,46.49185549,87.30852429,40.55167434,55.43500845,0.008333334,0.008333334,4898,1786,36,6,6
ken,Kenya,33.90958058,41.89291433,-4.674900613,4.633433205,0.008333334,0.008333334,958,1117,4,2,2
kir,Kiribati,102.3355026,107.6271696,9.913610273,14.68861052,0.008333334,0.008333334,635,573,4,2,2
kwt,Kuwait,46.54694358,48.65527702,28.53888333,30.08055008,0.008333334,0.008333334,253,185,1,1,1
kgz,Kyrgyzstan,69.27661854,80.28495244,39.17284428,43.23951116,0.008333334,0.008333334,1321,488,4,2,2
lao,Laos,100.0867696,107.63677,13.9076003,22.49926742,0.008333334,0.008333334,906,1031,4,2,2
lva,Latvia,20.97426647,28.24093351,55.6637193,58.08038609,0.008333334,0.008333334,872,290,1,1,1
lbn,Lebanon,35.10347349,36.63680691,33.05385638,34.69552313,0.008333334,0.008333334,184,197,1,1,1
lso,Lesotho,27.02906957,29.46240303,-30.66896072,-28.56896061,0.008333334,0.008333334,292,252,1,1,1
lbr,Liberia,-11.4920795,-7.367079281,4.353057329,8.553057548,0.008333334,0.008333334,495,504,1,1,1
lby,Libya,9.387020456,25.15368795,19.50804324,33.16637729,0.008333334,0.008333334,1892,1639,16,4,4
lie,Liechtenstein,-61.08013949,-60.87180614,13.70708328,14.1070833,0.008333334,0.008333334,25,48,1,1,1
ltu,Lithuania,20.94548245,26.84548276,53.89010638,56.44843985,0.008333334,0.008333334,708,307,1,1,1
lux,Luxembourg,5.743479494,6.526812868,49.44789137,50.18122474,0.008333334,0.008333334,94,88,1,1,1
mac,Macau,113.5289536,113.5872869,22.11067429,22.21900763,0.008333334,0.008333334,7,13,1,1,1
mkd,Macedonia,20.45892947,23.0089296,40.8485563,42.34022305,0.008333334,0.008333334,306,179,1,1,1
mdg,Madagascar,43.17737946,50.48571317,-25.60446373,-11.95446302,0.008333334,0.008333334,877,1638,9,3,3
mwi,Malawi,32.67152461,35.91319144,-17.12721066,-9.360543584,0.008333334,0.008333334,389,932,4,2,2
mys,Malaysia,99.64071668,119.2657177,0.855000389,7.363334062,0.008333334,0.008333334,2355,781,9,3,3
mli,Mali,-12.24260945,4.24905808,10.15950929,25.00117673,0.008333334,0.008333334,1979,1781,16,4,4
mtq,Martinique,-61.2290265,-60.81235982,14.3881943,14.879861,0.008333334,0.008333334,50,59,1,1,1
mrt,Mauritania,-17.06652059,-4.824853286,14.71555025,27.29888424,0.008333334,0.008333334,1469,1510,9,3,3
mus,Mauritius,56.58569354,63.50236057,-20.52569363,-10.33402643,0.008333334,0.008333334,830,1223,4,2,2
mex,Mexico,-117.3004225,-86.70042093,14.53381034,32.71714462,0.008333334,0.008333334,3672,2182,25,5,5
mco,Monaco,7.386400576,7.444733912,43.72803138,43.76969805,0.008333334,0.008333334,7,5,1,1,1
mng,Mongolia,87.7496646,119.9246663,41.56763835,52.15097223,0.008333334,0.008333334,3861,1270,16,4,4
mar,Morocco,-13.1594406,-0.992773297,27.67009736,35.92843113,0.008333334,0.008333334,1460,991,9,3,3
moz,Mozambique,30.21731958,40.84232013,-26.86868472,-10.46868386,0.008333334,0.008333334,1275,1968,9,3,3
mmr,Myanmar,92.18927751,101.1809447,8.824440261,28.54110796,0.008333334,0.008333334,1079,2366,9,3,3
nam,Namibia,11.71563049,25.25729786,-28.9714298,-16.96309584,0.008333334,0.008333334,1625,1441,9,3,3
npl,Nepal,80.05132259,88.19298968,26.34867129,30.43200484,0.008333334,0.008333334,977,490,4,2,2
nld,Netherlands,3.3575725,7.240906036,50.75509643,53.54676324,0.008333334,0.008333334,466,335,1,1,1
ncl,New Caledonia,155.8688967,168.135564,-22.84805477,-17.39805449,0.008333334,0.008333334,1472,654,4,2,2
nzl,New Zealand,160.1147461,179.8901367,-47.50488281,-34.32128906,0.008333334,0.008333334,42720,2219,169,13,13
nic,Nicaragua,-87.6903075,-82.59030724,10.70754323,15.02421012,0.008333334,0.008333334,612,518,4,2,2
ner,Niger,0.166250418,15.99958458,11.69697434,23.52197496,0.008333334,0.008333334,1900,1419,9,3,3
nga,Nigeria,2.668431449,14.67676541,4.277144318,13.89381149,0.008333334,0.008333334,1441,1154,9,3,3
prk,North Korea,124.1886367,130.6719704,37.59730928,43.00564289,0.008333334,0.008333334,778,649,4,2,2
mnp,Northern Mariana Islands,144.8849947,146.0683281,14.10999932,20.55166633,0.008333334,0.008333334,142,773,1,1,1
nor,Norway,4.650158579,31.14182663,57.96657937,71.19158006,0.008333334,0.008333334,3179,1587,16,4,4
omn,Oman,51.8820116,59.84034535,16.64576127,26.38742844,0.008333334,0.008333334,955,1169,4,2,2
pak,Pakistan,60.87859751,77.84526506,23.69468325,37.09468395,0.008333334,0.008333334,2036,1608,16,4,4
