SITENAME|LNG|LAT|METHOD|MODEL|VARS|WEIGHTS|NDIVISIONS|DIRECTION|GROWINGSEASON|ROTATION|PERIOD|ZONES|RESOLUTION|SCENARIO|OUTFILE|THRESHOLD
GHA_1371670849077|-1.45339300581|8.129194012|ccafs|[current,current]|[tmean]|[1]|[12,12]|none|1:12|tmean|[1960_1990,1960_1990]|[gha,gha]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/GHA_1371670849077/|0.0
COL_1371674298748|-76.46484375|3.60114232016|ccafs|[ensemble,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|1:12|both|[2020_2049,1960_1990]|[col,col]|[30s,30s]|[a1b,baseline]|/var/www/analogues/outputs/COL_1371674298748/|0.05
GHA_1371676582242|-0.887597107375|9.4212348814|ccafs|[current,current]|[tmean]|[1]|[12,12]|none|1:12|tmean|[1960_1990,1960_1990]|[gha,gha]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/GHA_1371676582242/|0.0
COL_1371692208429|-76.5|3.5|ccafs|[current,ensemble]|[tmean,prec]|[0.5,0.5]|[12,12]|forward|1:12|prec|[1960_1990,2020_2049]|[col,col]|[30s,30s]|[baseline,a1b]|/var/www/analogues/outputs/COL_1371692208429/|0.0
COL_1371692522296|-76.5|3.5|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|prec|[1960_1990,1960_1990]|[col,col]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/COL_1371692522296/|0.0
COL_1371696588231|-76.5|3.5|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|prec|[1960_1990,1960_1990]|[col,col]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/COL_1371696588231/|0.0
GHA_1371735456777|-0.893090271437|9.3995579221|ccafs|[current,current]|[tmean]|[1]|[12,12]|none|1:12|tmean|[1960_1990,1960_1990]|[gha,gha]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/GHA_1371735456777/|0.0
GHA_1371735610568|-0.827172302687|9.37245981404|ccafs|[current,current]|[tmean]|[1]|[12,12]|none|1:12|tmean|[1960_1990,1960_1990]|[gha,gha]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/GHA_1371735610568/|0.0
GHA_1371735671214|-0.827172302687|9.37245981404|ccafs|[current,current]|[tmean]|[1]|[12,12]|none|1:12|tmean|[1960_1990,1960_1990]|[gha,gha]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/GHA_1371735671214/|0.5
GHA_1371735870802|-0.872044885312|9.34658572741|ccafs|[current,current]|[tmean]|[1]|[12,12]|none|1:12|tmean|[1960_1990,1960_1990]|[gha,gha]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/GHA_1371735870802/|0.0
GHA_1371735930889|-0.872044885312|9.34658572741|ccafs|[current,current]|[tmean]|[1]|[12,12]|none|1:12|tmean|[1960_1990,1960_1990]|[gha,gha]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/GHA_1371735930889/|0.4
GHA_1371745503340|-0.865624451125|9.37245981404|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|both|[1960_1990,1960_1990]|[gha,gha]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/GHA_1371745503340/|0.0
GHA_1371745893925|-0.865624451125|9.37245981404|ccafs|[current,current]|[tmean]|[1]|[12,12]|none|1:12|tmean|[1960_1990,1960_1990]|[gha,gha]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/GHA_1371745893925/|0.0
GHA_1371745991131|-0.865624451125|9.37245981404|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|both|[1960_1990,1960_1990]|[gha,gha]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/GHA_1371745991131/|0.5
GHA_1371758099811|-0.865624451125|9.38329931146|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|both|[1960_1990,1960_1990]|[gha,gha]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/GHA_1371758099811/|0.5
GHA_1371758507529|-0.865624451125|9.38329931146|ccafs|[current,current]|[tmean]|[1]|[12,12]|none|1:12|tmean|[1960_1990,1960_1990]|[gha,gha]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/GHA_1371758507529/|0.5
GHA_1371758575762|-0.865624451125|9.38329931146|ccafs|[current,current]|[prec]|[1]|[12,12]|none|1:12|prec|[1960_1990,1960_1990]|[gha,gha]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/GHA_1371758575762/|0.5
AUS_1371818780093|147.656565612|-32.9318434225|ccafs|[ensemble,current]|[tmean]|[1]|[12,12]|backward|1:12|tmean|[2020_2049,1960_1990]|[aus,aus]|[30s,30s]|[a1b,baseline]|/var/www/analogues/outputs/AUS_1371818780093/|0.0
